"","par1","par2","sse","pse","slope"
"pse...1",-1.00158169632778,0.670381907373667,7.41076504955359,-3.49789604458438,1.2228886564548
"pse...2",-10.1154731540009,0.792240034788847,7.41076518226116,-3.49762065151574,1.22304421004997
"pse...3",-14.088248074986,0.241769740357995,7.41076548424623,-3.49866662802654,1.22279542724086
"pse...4",-2.21503028646111,1.23571576131508,7.41076506082854,-3.49800782943788,1.22279302024205
"pse...5",-7.10375221911818,0.952647742349654,7.4107650603913,-3.49822870802594,1.22305620566164
"pse...6",10.8695699600503,0.297757264226675,7.41076516447917,-3.49815668944009,1.22261622446056
"pse...7",-9.58709761267528,1.99854662409052,7.41076510576256,-3.49788841362233,1.22273606138248
"pse...8",10.252235471271,0.285298119764775,7.41076514740066,-3.4982485951279,1.22334953288325
"pse...9",-4.65454840566963,1.77925090771168,7.41076503903432,-3.49816564135042,1.22297349622754
"pse...10",-5.40455113397911,1.41803166735917,7.41076503591694,-3.4979280847854,1.22291626469997
"pse...11",3.8445515697822,0.87634513201192,7.41076514978,-3.49789072468362,1.22344143439997
"pse...12",-4.80311915511265,1.86618517432362,7.41076502914813,-3.49805860563498,1.22290548229001
"pse...13",6.38863236643374,1.26170374592766,7.41076533150821,-3.49854814859298,1.22319525042054
"pse...14",7.39348310278729,0.22290057502687,7.41076511962076,-3.4978530424757,1.22336547921842
"pse...15",-6.80134454509243,0.197036178316921,7.41076504598323,-3.49793782652414,1.22286472291854
"pse...16",7.7258844813332,1.32718420773745,7.41076519838733,-3.49804238555902,1.22254563235412
"pse...17",6.73083281842992,0.917893062811345,7.41076527089573,-3.49848237294799,1.22322404263451
"pse...18",5.23195741698146,1.40102722961456,7.41076570229999,-3.49863198139294,1.22237958520693
"pse...19",9.45216655964032,1.38236297573894,7.41076524884803,-3.49780499193728,1.22255573724669
"pse...20",6.49237031349912,1.7811597827822,7.41076510645171,-3.49778847960286,1.2232692460736
"pse...21",-4.79109353385866,1.33712569065392,7.41076503017077,-3.49792556785353,1.22295413014616
"pse...22",-3.47238088957965,0.470226733479649,7.41076504508942,-3.49796024018745,1.22323118102145
"pse...23",11.6549108549953,1.60290331766009,7.41076511423634,-3.49778592153045,1.22281657975779
"pse...24",2.89283210411668,1.95403548283502,7.41076672436714,-3.49681303908494,1.22359963009891
"pse...25",-5.15685097547248,1.61036005662754,7.41076506684891,-3.49802444356248,1.22277608109687
"pse...26",-14.030538580846,0.896579755470157,7.41076502576233,-3.49804851604082,1.22315570393228
"pse...27",-7.0580484601669,0.818535035476089,7.41076537767127,-3.49811849735604,1.22235050393137
