"","par1","par2","sse","pse","slope"
"pse...1",-1.00158169632778,0.670381907373667,7.492149428183,-0.768403108233685,2.47515556038463
"pse...2",-10.1154731540009,0.792240034788847,7.49214947981284,-0.768939357386686,2.47471289144233
"pse...3",-14.088248074986,0.241769740357995,7.49214953891892,-0.769107925354575,2.47473881336202
"pse...4",-2.21503028646111,1.23571576131508,7.49214944850348,-0.768529374386318,2.4741788838948
"pse...5",-7.10375221911818,0.952647742349654,7.49214956261263,-0.768195763786606,2.47570849805054
"pse...6",10.8695699600503,0.297757264226675,7.4921494212686,-0.76809214006319,2.47474979870023
"pse...7",-9.58709761267528,1.99854662409052,7.49214945238641,-0.768271881728995,2.47529004253198
"pse...8",10.252235471271,0.285298119764775,7.49214944972397,-0.768236939999566,2.47526310904259
"pse...9",-4.65454840566963,1.77925090771168,7.49214944234995,-0.76872191500767,2.47439227447676
"pse...10",-5.40455113397911,1.41803166735917,7.49214945646474,-0.767961296697661,2.47498724750051
"pse...11",3.8445515697822,0.87634513201192,7.49214951624192,-0.768967281627366,2.47509350309552
"pse...12",-4.80311915511265,1.86618517432362,7.49214959142397,-0.767812666886171,2.47555531132467
"pse...13",6.38863236643374,1.26170374592766,7.49214960253007,-0.767806608584785,2.47559033686579
"pse...14",7.39348310278729,0.22290057502687,7.49214953124326,-0.769039179751012,2.47501423271418
"pse...15",-6.80134454509243,0.197036178316921,7.49214946971344,-0.768183190008267,2.4741236093992
"pse...16",7.7258844813332,1.32718420773745,7.49214942385677,-0.768703083471318,2.47469402158573
"pse...17",6.73083281842992,0.917893062811345,7.49214942097121,-0.768391345393678,2.47510288878505
"pse...18",5.23195741698146,1.40102722961456,7.49214942988252,-0.768495529605229,2.47513982948508
"pse...19",9.45216655964032,1.38236297573894,7.49215005833739,-0.769079198819086,2.47287030518333
"pse...20",6.49237031349912,1.7811597827822,7.49214950700645,-0.76809608854068,2.47546763567592
"pse...21",-4.79109353385866,1.33712569065392,7.49214943371268,-0.76871516990179,2.47447967078819
"pse...22",-3.47238088957965,0.470226733479649,7.49214969234154,-0.767798931529926,2.47586717080107
"pse...23",11.6549108549953,1.60290331766009,7.49214954304767,-0.767660581932738,2.47482539993547
"pse...24",2.89283210411668,1.95403548283502,7.49214945895185,-0.768591369814881,2.47526367553235
"pse...25",-5.15685097547248,1.61036005662754,7.49214972723867,-0.767358355723917,2.47430411192943
"pse...26",-14.030538580846,0.896579755470157,7.49214943972357,-0.768706494571666,2.47439222591086
"pse...27",-7.0580484601669,0.818535035476089,7.49214961919674,-0.76825256484319,2.47588217270721
"pse...28",-9.16209599236026,1.08697502827272,7.49214942458257,-0.76814982936374,2.47500568767873
"pse...29",13.0531110288575,1.54807522054762,7.49214958335422,-0.768427008612419,2.47365116804032
"pse...30",14.9064975022338,1.6452516829595,7.49214965169898,-0.767576901865577,2.47410533546849
"pse...31",-3.24883968103677,0.770498960278928,7.4921494877407,-0.768149617562594,2.47405988109279
"pse...32",11.9741340028122,0.637706046923995,7.49214951128093,-0.768890687065216,2.47415695564568
"pse...33",-8.73934552771971,1.12835434125736,7.49214957481385,-0.768521875388581,2.47368227793593
"pse...34",-0.537466944660991,0.13022926542908,7.49214940584709,-0.768542215789907,2.47483294547715
"pse...35",-7.16167943319306,0.660671283490956,7.49214945167756,-0.768317775680509,2.47415437980507
"pse...36",-5.0830762507394,0.18470659153536,7.49214948389799,-0.76850270223307,2.47399797735345
"pse...37",5.81980582326651,0.232979252003133,7.49214945884825,-0.768815409112863,2.47441633356799
"pse...38",11.1179193668067,0.257341200485826,7.49214946378168,-0.768327041974266,2.47535846561404
"pse...39",10.0613391492516,0.475383792072535,7.4921494484519,-0.768395060705579,2.47415876326665
"pse...40",-1.48744178703055,1.66859723208472,7.49214943283171,-0.768057261865307,2.47455891540956
"pse...41",4.97390852775425,1.08823836874217,7.49214942236433,-0.768149986298001,2.47449423409514
"pse...42",4.86875790869817,1.74702454963699,7.49214968237522,-0.769088659814952,2.47370837157033
"pse...43",5.05164217902347,0.427090503741056,7.49214949391564,-0.767897067553705,2.47432302661769
"pse...44",-2.42776960367337,0.925551891792566,7.4921494240823,-0.768357093357595,2.47431752427964
"pse...45",3.56426098616794,0.967452389188111,7.49214950443044,-0.769010412901467,2.47456574220935
"pse...46",7.68813236150891,0.443223801441491,7.49214943418047,-0.768036736600068,2.47488144379363
"pse...47",14.7353828768246,1.95945909665897,7.49214982791869,-0.767137327850676,2.47471181540241
"pse...48",10.7708918815479,0.483028418850154,7.49214945895281,-0.768856651106338,2.47480630808118
"pse...49",3.93997715553269,1.48809128301218,7.49214950116478,-0.768002071890287,2.47536808134216
"pse...50",8.23211068287492,1.34967308910564,7.49214994868875,-0.76969203992301,2.47389832172669
"pse...51",7.40335321985185,1.94818443665281,7.49214942596156,-0.768291541137346,2.47512816652984
"pse...52",-10.8701321901754,1.49083702685311,7.49214946031676,-0.768744954200842,2.47511503391943
"pse...53",-4.91306316806003,1.29541683150455,7.49214940476335,-0.768379080132625,2.4745032507684
"pse...54",11.4502522791736,0.856978599913418,7.49214949552662,-0.768369685681787,2.47394570900072
"pse...55",13.3049145620316,0.505520246457309,7.49214940995956,-0.768183309869746,2.47464571847725
"pse...56",14.6616448508576,1.8122444706969,7.49214947483999,-0.767948523960298,2.47436360831452
"pse...57",-14.4168034312315,1.10677122045308,7.49214943298206,-0.768700343129365,2.47445610395628
"pse...58",-4.75212800083682,1.26142082549632,7.49214942698174,-0.768060704752986,2.47478815177279
"pse...59",3.54894902324304,1.8458823855035,7.4921494984855,-0.767835753618693,2.47443217271013
"pse...60",7.70932551473379,0.504852851387113,7.49214943860083,-0.768490885528941,2.47520024675598
"pse...61",10.1540609216318,0.877452055457979,7.49214961134901,-0.767874493978529,2.47382555530764
"pse...62",-3.35457114502788,1.30771703599021,7.49214942532775,-0.768362062717162,2.47430726953093
"pse...63",-14.1814183071256,0.772552878130227,7.49214944286677,-0.768395362437622,2.47419006094512
"pse...64",-11.3923907722346,0.298589018173516,7.49214944169225,-0.768790523578561,2.47475982956859
"pse...65",10.5546809127554,1.64232668047771,7.49214943877316,-0.768605090407873,2.47512689955028
"pse...66",-1.58624636242166,1.76318219350651,7.49214947046895,-0.768090440010784,2.47419395863185
"pse...67",9.02730766218156,0.946886072400957,7.49214992683184,-0.768116805989824,2.47297479339923
"pse...68",-4.34705653460696,1.51056965626776,7.4921495093226,-0.767785023903634,2.47503558276361
"pse...69",10.5775444814935,0.197961130645126,7.49214955051966,-0.769137697779167,2.47461694594322
"pse...70",9.67875403119251,1.63090453203768,7.49214943459226,-0.768177134540837,2.47434224483027
"pse...71",-12.9113126196899,0.490221036132425,7.4921494571785,-0.768842881318287,2.4748448867424
"pse...72",-9.6570376935415,0.592606540769339,7.49214965205582,-0.769048028724341,2.47558810423001
"pse...73",-1.01491556502879,0.162787829060107,7.49214944075286,-0.768101837612442,2.47438136908809
"pse...74",-9.20684207696468,0.560268068686128,7.49214949680116,-0.768422469384153,2.47393772030871
"pse...75",7.50526732066646,0.456328784115613,7.4921494340916,-0.76803708894557,2.47460848402894
"pse...76",-0.964850359596312,0.131362666375935,7.49214996005636,-0.767454366556565,2.47337961437282
"pse...77",-1.49918372975662,0.340183107182384,7.49214943545196,-0.768221460217842,2.47429854326137
"pse...78",-4.53343437518924,1.10467529250309,7.49214952871025,-0.76815210686928,2.47558005608991
"pse...79",0.201385330874473,0.916464297100902,7.49214943340799,-0.768123056544626,2.47441692145195
