"","par1","par2","sse","pse","slope"
"pse...1",-1.00158169632778,0.670381907373667,4.40630080306476,5.16736878262165,0.51269547058741
"pse...2",-10.1154731540009,0.792240034788847,4.40630085022786,5.16733257411097,0.512573170209921
"pse...3",-14.088248074986,0.241769740357995,4.40630088076093,5.1675465681494,0.512596681198449
"pse...4",-2.21503028646111,1.23571576131508,4.40630084966747,5.16737496257124,0.512555279116331
"pse...5",-7.10375221911818,0.952647742349654,4.40630085062243,5.16745300072314,0.512811558829872
"pse...6",10.8695699600503,0.297757264226675,4.40630158357053,5.1678946623493,0.512617874147652
"pse...7",-9.58709761267528,1.99854662409052,4.40630085884513,5.16727880404958,0.512667517618829
"pse...8",10.252235471271,0.285298119764775,4.40630088655027,5.16751510056876,0.512558527551275
"pse...9",-4.65454840566963,1.77925090771168,4.40630140103127,5.16784462698574,0.512658514595951
"pse...10",-5.40455113397911,1.41803166735917,4.40630083475232,5.1673759252827,0.512775954417356
"pse...11",3.8445515697822,0.87634513201192,4.40630082645881,5.167324419765,0.512698715382279
"pse...12",-4.80311915511265,1.86618517432362,4.40630080213862,5.16747170839874,0.512668698493299
"pse...13",6.38863236643374,1.26170374592766,4.40630082496503,5.16745888034018,0.512776488076431
"pse...14",7.39348310278729,0.22290057502687,4.40630088708237,5.16751709362783,0.512831628936348
"pse...15",-6.80134454509243,0.197036178316921,4.40637968100968,5.16251822142967,0.512343981966981
"pse...16",7.7258844813332,1.32718420773745,4.40630098316622,5.16726157106232,0.512833882177497
"pse...17",6.73083281842992,0.917893062811345,4.40630083853179,5.16746560800301,0.51258162235869
"pse...18",5.23195741698146,1.40102722961456,4.40630083130671,5.16752025747156,0.512651267046144
"pse...19",9.45216655964032,1.38236297573894,4.40630083070084,5.16752618186525,0.512723501134259
"pse...20",6.49237031349912,1.7811597827822,4.40630082934803,5.16752552673605,0.5126756000626
"pse...21",-4.79109353385866,1.33712569065392,4.40630081193636,5.16749023875602,0.512725688556669
"pse...22",-3.47238088957965,0.470226733479649,4.40630085978303,5.16729389624751,0.512599236063731
"pse...23",11.6549108549953,1.60290331766009,4.40630087445533,5.16729366742042,0.512572486258722
"pse...24",2.89283210411668,1.95403548283502,4.4063008390659,5.16738150852997,0.512567174146438
"pse...25",-5.15685097547248,1.61036005662754,4.40630082591604,5.16737847469328,0.512586949397974
"pse...26",-14.030538580846,0.896579755470157,4.40630089604659,5.16732930928126,0.512815742830558
"pse...27",-7.0580484601669,0.818535035476089,4.4063008620906,5.16749338227659,0.512569395499314
"pse...28",-9.16209599236026,1.08697502827272,4.40630089534738,5.16759641114066,0.512677275567032
"pse...29",13.0531110288575,1.54807522054762,4.40630087955315,5.16755457038291,0.512609491516609
"pse...30",14.9064975022338,1.6452516829595,4.40630090255834,5.16745293639658,0.512861029158544
"pse...31",-3.24883968103677,0.770498960278928,4.40630090075248,5.16747065935845,0.512519533524624
"pse...32",11.9741340028122,0.637706046923995,4.40630093260403,5.16738710698548,0.512479460210869
"pse...33",-8.73934552771971,1.12835434125736,4.40630091604335,5.16747074829791,0.512870650431397
"pse...34",-0.537466944660991,0.13022926542908,4.40630081526996,5.16734125494665,0.51264687932534
"pse...35",-7.16167943319306,0.660671283490956,4.40630100176376,5.16743381821837,0.512439345184391
"pse...36",-5.0830762507394,0.18470659153536,4.40630085337092,5.16728468061972,0.512659703370701
"pse...37",5.81980582326651,0.232979252003133,4.40630080327943,5.16747882045534,0.512695047774707
"pse...38",11.1179193668067,0.257341200485826,4.40630091298281,5.16761079699904,0.51274148067939
"pse...39",10.0613391492516,0.475383792072535,4.40630087447718,5.16727292979731,0.51271425921623
"pse...40",-1.48744178703055,1.66859723208472,4.40630107348033,5.16715611038021,0.512764952970456
"pse...41",4.97390852775425,1.08823836874217,4.40630081069449,5.1673908732495,0.512611398636832
"pse...42",4.86875790869817,1.74702454963699,4.40630080895743,5.16737304842787,0.512624335507133
"pse...43",5.05164217902347,0.427090503741056,4.40630080300678,5.16746725265831,0.512720903986321
"pse...44",-2.42776960367337,0.925551891792566,4.40630136635845,5.16722483256975,0.512295646589185
"pse...45",3.56426098616794,0.967452389188111,4.40630093201231,5.1672145792945,0.512644528716618
"pse...46",7.68813236150891,0.443223801441491,4.40630096727644,5.16758192748862,0.51286607631864
"pse...47",14.7353828768246,1.95945909665897,4.40630079884021,5.16745902810137,0.512709708314867
"pse...48",10.7708918815479,0.483028418850154,4.40630083572123,5.16753324836205,0.512671124777168
"pse...49",3.93997715553269,1.48809128301218,4.40630082948772,5.16749377702217,0.512616676430528
"pse...50",8.23211068287492,1.34967308910564,4.40630080871767,5.16743430955448,0.512750620268304
"pse...51",7.40335321985185,1.94818443665281,4.40630095531402,5.16741269950241,0.512464977466669
"pse...52",-10.8701321901754,1.49083702685311,4.40630085488456,5.1674821050057,0.512810536714693
"pse...53",-4.91306316806003,1.29541683150455,4.40630088872726,5.16737480887277,0.51283464215884
"pse...54",11.4502522791736,0.856978599913418,4.40630082448808,5.1673922039229,0.512768938189093
"pse...55",13.3049145620316,0.505520246457309,4.40630084697719,5.16731078533449,0.512601016188626
"pse...56",14.6616448508576,1.8122444706969,4.40630093300771,5.16758309632043,0.512830896713576
"pse...57",-14.4168034312315,1.10677122045308,4.40630094003128,5.16742293494475,0.51288729719948
"pse...58",-4.75212800083682,1.26142082549632,4.40630097574086,5.16719968124946,0.512730949511246
"pse...59",3.54894902324304,1.8458823855035,4.40630085422929,5.16731828955991,0.512578770598116
"pse...60",7.70932551473379,0.504852851387113,4.40630091156698,5.16723360723853,0.512619907728059
"pse...61",10.1540609216318,0.877452055457979,4.40630098222096,5.16758990212812,0.512872804962854
"pse...62",-3.35457114502788,1.30771703599021,4.40630083943786,5.1673415977077,0.512583612833835
"pse...63",-14.1814183071256,0.772552878130227,4.40630080512443,5.16746247371286,0.512732953110486
"pse...64",-11.3923907722346,0.298589018173516,4.40630083931915,5.16746395133427,0.512796070484792
"pse...65",10.5546809127554,1.64232668047771,4.40630085512656,5.16728876335449,0.512701671849504
"pse...66",-1.58624636242166,1.76318219350651,4.40630196738368,5.16687214256136,0.512836643950494
"pse...67",9.02730766218156,0.946886072400957,4.4063012538156,5.1670992441526,0.512822829605448
"pse...68",-4.34705653460696,1.51056965626776,4.40630082806827,5.16734873915923,0.5125986869151
"pse...69",10.5775444814935,0.197961130645126,4.40630085427264,5.16755440998502,0.512666418184945
"pse...70",9.67875403119251,1.63090453203768,4.40630084366828,5.16731312453076,0.512605082095817
"pse...71",-12.9113126196899,0.490221036132425,4.40630088718804,5.16758649563685,0.512664456950793
"pse...72",-9.6570376935415,0.592606540769339,16,-7.96705609717174,0.109754656092264
"pse...73",-1.01491556502879,0.162787829060107,15,-0.913424008525908,0.0612962725572288
"pse...74",-9.20684207696468,0.560268068686128,16,-7.59564471349586,0.0999259648378938
"pse...75",7.50526732066646,0.456328784115613,4.40630080963572,5.16748940867948,0.512666975427147
"pse...76",-0.964850359596312,0.131362666375935,15,-0.868365323636681,0.0348776304163039
"pse...77",-1.49918372975662,0.340183107182384,15,-1.27430617029313,0.0403463612310588
"pse...78",-4.53343437518924,1.10467529250309,4.40630092065628,5.16755822170653,0.512562990869499
"pse...79",0.201385330874473,0.916464297100902,4.40630160289541,5.16791144558306,0.512842322402035
"pse...80",-11.0994633939117,0.193895271513611,16,-8.25522589922184,0.0551519790897146
"pse...81",2.59267499204725,0.0701830568723381,4.40630086056322,5.16728637145328,0.512612331337205
"pse...82",13.7800922594033,1.27078649029136,4.40630089757724,5.16759565270667,0.512664874124336
"pse...83",-1.42774465028197,1.2381923426874,4.40630085713196,5.16755250235053,0.512750497997128
"pse...84",5.59740613913164,1.46605204930529,4.40630080566303,5.1674845935159,0.512698481188084
"pse...85",1.68631760403514,0.939637712202966,4.40630080462642,5.16746972708419,0.512652596516195
"pse...86",3.62839557230473,1.50440234225243,4.40630081077835,5.16748292039231,0.512649237250019
"pse...87",10.1972509059124,0.937859548255801,4.40630082924271,5.16732600641052,0.512622756115738
"pse...88",-5.93115591444075,0.791502819862217,4.40630093731953,5.16733191881632,0.512484604720584
"pse...89",-8.70618156390265,1.84467114927247,4.40630080501045,5.16741799185312,0.512741048794255
"pse...90",-14.183136227075,0.426073682960123,4.40630087245395,5.16726535048679,0.512672906000453
"pse...91",-12.5281405029818,0.70525020128116,4.4063008336845,5.16732134010813,0.512716869559275
"pse...92",4.97754934011027,1.05745945218951,4.40630080334355,5.16739878985811,0.512729805363456
"pse...93",-3.46612612484023,1.70694530382752,4.40630081524041,5.16734171642542,0.512645685774895
"pse...94",14.660883480683,1.75981011567637,4.4063012540466,5.16718620020472,0.512931325878474
"pse...95",-11.336743561551,0.264785300008953,4.40630082700493,5.16742276437295,0.512582587183795
"pse...96",11.7801800114103,1.84490755945444,4.40630086578208,5.16752120759121,0.512588126944671
"pse...97",-12.9766115080565,0.707821612711996,4.40630098685383,5.16766562310534,0.512712336120989
"pse...98",-2.74769260548055,0.223694822750986,4.40630086302286,5.1673040410917,0.512579081647007
"pse...99",-8.85829110397026,0.0914246751926839,16,-7.97246199357323,0.0914246751926839
"pse...100",-12.2183166956529,0.399198307655752,4.40630088950812,5.16756890233946,0.512789536320005
