"","par1","par2","sse","pse","slope"
"pse...1",-1.00158169632778,0.670381907373667,6.87912173526183,1.70094922556265,1.52985998366741
"pse...2",-10.1154731540009,0.792240034788847,6.87912169693651,1.70149101869209,1.53088992827943
"pse...3",-14.088248074986,0.241769740357995,6.87912154275564,1.70178572379729,1.53009353073173
"pse...4",-2.21503028646111,1.23571576131508,6.87912151392882,1.70170713617323,1.53016380004049
"pse...5",-7.10375221911818,0.952647742349654,6.87912150144029,1.70164007191955,1.53005693254396
"pse...6",10.8695699600503,0.297757264226675,6.87912160337758,1.70188006506313,1.52991807596103
"pse...7",-9.58709761267528,1.99854662409052,6.87912151896279,1.70136027848201,1.53051641741607
"pse...8",10.252235471271,0.285298119764775,6.87912154814868,1.70149209436373,1.52980624483783
"pse...9",-4.65454840566963,1.77925090771168,6.87912153668555,1.70176953154413,1.53008842938776
"pse...10",-5.40455113397911,1.41803166735917,6.87912159942248,1.70106228438104,1.53054327668632
"pse...11",3.8445515697822,0.87634513201192,6.8791215041217,1.70133517160564,1.53044256115795
"pse...12",-4.80311915511265,1.86618517432362,6.87912150151772,1.70128175008746,1.53012236527012
"pse...13",6.38863236643374,1.26170374592766,6.87912150741024,1.70164776510028,1.53001979273873
"pse...14",7.39348310278729,0.22290057502687,6.87912152942602,1.70119584040214,1.53010693192322
"pse...15",-6.80134454509243,0.197036178316921,6.87912157488354,1.70108579999093,1.53046953703619
"pse...16",7.7258844813332,1.32718420773745,6.87912152485921,1.70117356438908,1.53026878746703
"pse...17",6.73083281842992,0.917893062811345,6.87912156236106,1.70161792501807,1.52978036619046
"pse...18",5.23195741698146,1.40102722961456,6.87912150555385,1.70144241696637,1.52995643484971
"pse...19",9.45216655964032,1.38236297573894,6.87912149600582,1.70138017832709,1.53041836257128
"pse...20",6.49237031349912,1.7811597827822,6.87912148397735,1.70136459122804,1.53014169152554
"pse...21",-4.79109353385866,1.33712569065392,6.87912162071345,1.70097251452546,1.53029516470654
"pse...22",-3.47238088957965,0.470226733479649,6.87912150305806,1.70150830879407,1.52995876177452
"pse...23",11.6549108549953,1.60290331766009,6.8791215264822,1.7011783150205,1.53018807156157
"pse...24",2.89283210411668,1.95403548283502,6.87912149467423,1.70128015433871,1.53022790097993
