"","par1","par2","sse","pse","slope"
"pse...1",-1.00158169632778,0.670381907373667,5.68407131185611,2.29469659616314,0.874684783439737
"pse...2",-10.1154731540009,0.792240034788847,5.68407130761176,2.29493705519102,0.874781814326637
"pse...3",-14.088248074986,0.241769740357995,5.68407126511846,2.29505170586852,0.874342660495184
"pse...4",-2.21503028646111,1.23571576131508,5.68407157576463,2.29494392390466,0.873898521444451
"pse...5",-7.10375221911818,0.952647742349654,5.68407122028086,2.29487246421133,0.874528348926564
"pse...6",10.8695699600503,0.297757264226675,5.68407128151006,2.2949923891159,0.874250861447609
"pse...7",-9.58709761267528,1.99854662409052,5.68407125190853,2.29500724538718,0.874614164064744
"pse...8",10.252235471271,0.285298119764775,5.68407126938701,2.29482842506807,0.87470817346436
"pse...9",-4.65454840566963,1.77925090771168,5.68407131613619,2.29504209875129,0.874206911629277
"pse...10",-5.40455113397911,1.41803166735917,5.68407148604832,2.29499072243765,0.874979767929079
"pse...11",3.8445515697822,0.87634513201192,5.68407131947578,2.29467216143327,0.874407151560842
"pse...12",-4.80311915511265,1.86618517432362,5.68407124670233,2.29492564233033,0.874657247313919
"pse...13",6.38863236643374,1.26170374592766,5.68407128121101,2.29508896319746,0.874578705117246
"pse...14",7.39348310278729,0.22290057502687,5.68407134387292,2.29485528071126,0.874845834904357
"pse...15",-6.80134454509243,0.197036178316921,5.68407129602446,2.29498282014486,0.874741299711563
"pse...16",7.7258844813332,1.32718420773745,5.68407131796985,2.29510369353986,0.874662362198775
"pse...17",6.73083281842992,0.917893062811345,5.68407140635971,2.29515383444187,0.874757972490139
"pse...18",5.23195741698146,1.40102722961456,5.68407143445651,2.29480839419216,0.87406697220397
"pse...19",9.45216655964032,1.38236297573894,5.68407124719509,2.29483804094166,0.874357644017987
"pse...20",6.49237031349912,1.7811597827822,5.68407127748491,2.2951022963595,0.874509842348343
"pse...21",-4.79109353385866,1.33712569065392,5.68407151376967,2.29529319680149,0.874169336495847
"pse...22",-3.47238088957965,0.470226733479649,5.68407125601373,2.29475386219873,0.874476721082987
"pse...23",11.6549108549953,1.60290331766009,5.68407125866437,2.29503108155388,0.874605400141909
"pse...24",2.89283210411668,1.95403548283502,5.68407124806839,2.29504825529675,0.874497040335793
"pse...25",-5.15685097547248,1.61036005662754,5.68407128550004,2.29511576398136,0.874411124342056
"pse...26",-14.030538580846,0.896579755470157,5.68407128261129,2.29476442993442,0.874696310312442
"pse...27",-7.0580484601669,0.818535035476089,5.68407132744187,2.29479534375902,0.874215395312022
"pse...28",-9.16209599236026,1.08697502827272,5.68407125577022,2.29487314446314,0.874686651340923
"pse...29",13.0531110288575,1.54807522054762,5.68407130616689,2.2947199198977,0.874705801389443
"pse...30",14.9064975022338,1.6452516829595,5.68407141103038,2.29459057080794,0.874353593331117
"pse...31",-3.24883968103677,0.770498960278928,5.68407132753957,2.29491539394916,0.874164483727516
"pse...32",11.9741340028122,0.637706046923995,5.68407132465041,2.29465157123184,0.874461634264225
"pse...33",-8.73934552771971,1.12835434125736,5.68407131014814,2.29467225011957,0.874450718023059
"pse...34",-0.537466944660991,0.13022926542908,5.68407123731013,2.29502251470769,0.874481396191429
"pse...35",-7.16167943319306,0.660671283490956,5.68407127984504,2.29499218819644,0.874702827818154
"pse...36",-5.0830762507394,0.18470659153536,5.68407130469935,2.29475893824831,0.874744096072999
"pse...37",5.81980582326651,0.232979252003133,5.68407124638013,2.29495951217276,0.874640048767237
"pse...38",11.1179193668067,0.257341200485826,5.68407126247028,2.29475759407765,0.874616325148813
"pse...39",10.0613391492516,0.475383792072535,5.68407145310255,2.29483925335621,0.874975047300174
"pse...40",-1.48744178703055,1.66859723208472,5.68407124464217,2.29482014444648,0.874385731046851
"pse...41",4.97390852775425,1.08823836874217,5.68407128504987,2.29486867969673,0.874750889828341
"pse...42",4.86875790869817,1.74702454963699,5.68407125761821,2.29474750457772,0.874502271681955
"pse...43",5.05164217902347,0.427090503741056,5.68407140361362,2.2946422356746,0.874810676075221
"pse...44",-2.42776960367337,0.925551891792566,5.68407172952421,2.29470546048172,0.875186695486522
"pse...45",3.56426098616794,0.967452389188111,5.6840712363603,2.29499750762145,0.874395827119311
