"","par1","par2","sse","pse","slope"
"pse...1",-1.00158169632778,0.670381907373667,6.57469804451079,1.34084828723489,1.28933583311542
"pse...2",-10.1154731540009,0.792240034788847,6.57469803564537,1.34108649510236,1.28980281153581
"pse...3",-14.088248074986,0.241769740357995,6.57469801008461,1.34058562472348,1.28967139017049
"pse...4",-2.21503028646111,1.23571576131508,6.57469799122371,1.34084774335795,1.28988983907136
"pse...5",-7.10375221911818,0.952647742349654,6.57469810253906,1.34094428071955,1.29011117170215
"pse...6",10.8695699600503,0.297757264226675,6.57469859165571,1.34012618909962,1.28917645204458
"pse...7",-9.58709761267528,1.99854662409052,6.57470124810611,1.33894416017425,1.29048478330149
"pse...8",10.252235471271,0.285298119764775,6.57469808449668,1.34048469478612,1.28991110549961
"pse...9",-4.65454840566963,1.77925090771168,6.57469863904044,1.34068204096442,1.29068937167026
"pse...10",-5.40455113397911,1.41803166735917,6.57469800505219,1.34097022383026,1.28986168176755
"pse...11",3.8445515697822,0.87634513201192,6.57469799944986,1.34065320010213,1.28984165397143
"pse...12",-4.80311915511265,1.86618517432362,6.57469798076626,1.34095000543617,1.28975506044918
"pse...13",6.38863236643374,1.26170374592766,6.57469813498589,1.34109753593555,1.29006249669318
"pse...14",7.39348310278729,0.22290057502687,6.57469805175176,1.34112500062481,1.28978427797012
"pse...15",-6.80134454509243,0.197036178316921,6.57469847910671,1.34011878000092,1.28936772422227
"pse...16",7.7258844813332,1.32718420773745,6.57469800155152,1.34085965252997,1.28944539734836
"pse...17",6.73083281842992,0.917893062811345,6.57469800362451,1.34071920041047,1.28991554358498
"pse...18",5.23195741698146,1.40102722961456,6.57469797752881,1.34070146016144,1.28962649823412
"pse...19",9.45216655964032,1.38236297573894,6.57469799518109,1.34072832256557,1.28989001621723
"pse...20",6.49237031349912,1.7811597827822,6.5746981195191,1.34102292462443,1.29009601108141
"pse...21",-4.79109353385866,1.33712569065392,6.57469904126953,1.34071853482211,1.28843464207604
"pse...22",-3.47238088957965,0.470226733479649,6.57469899383607,1.34057159870574,1.29091414164422
"pse...23",11.6549108549953,1.60290331766009,6.57469809582236,1.34105587422646,1.28930907159765
"pse...24",2.89283210411668,1.95403548283502,6.574698008667,1.34083242904256,1.28994814677801
"pse...25",-5.15685097547248,1.61036005662754,6.57469804209563,1.34075921706149,1.29002943309558
"pse...26",-14.030538580846,0.896579755470157,6.57469807305866,1.34056944864,1.28941629948315
"pse...27",-7.0580484601669,0.818535035476089,6.57469820646606,1.34039104509653,1.29008140713667
"pse...28",-9.16209599236026,1.08697502827272,6.57469797187106,1.34086988997532,1.28957598331616
"pse...29",13.0531110288575,1.54807522054762,6.57469814176456,1.34045477703493,1.28940558970611
"pse...30",14.9064975022338,1.6452516829595,6.5746982637471,1.34023611454964,1.28985509197152
"pse...31",-3.24883968103677,0.770498960278928,6.57469808572749,1.34044091609884,1.28969287447736
"pse...32",11.9741340028122,0.637706046923995,6.57469804197093,1.34052753226495,1.28961282973871
"pse...33",-8.73934552771971,1.12835434125736,6.57469821474478,1.34136008613157,1.28957113875815
"pse...34",-0.537466944660991,0.13022926542908,6.57469798062863,1.34072561929003,1.2895677132637
"pse...35",-7.16167943319306,0.660671283490956,6.57469800920042,1.34064073338799,1.28987160502802
"pse...36",-5.0830762507394,0.18470659153536,6.57469805049031,1.34112610703036,1.2897725289151
"pse...37",5.81980582326651,0.232979252003133,6.57469804310951,1.34055413192169,1.28953490420028
"pse...38",11.1179193668067,0.257341200485826,6.57469800527025,1.34088549153557,1.28943888541892
"pse...39",10.0613391492516,0.475383792072535,6.57469806827649,1.34049340044383,1.28956607549754
"pse...40",-1.48744178703055,1.66859723208472,6.5746979869029,1.34065713296968,1.28975428601225
"pse...41",4.97390852775425,1.08823836874217,6.57469799605438,1.34091836156798,1.28948301768844
"pse...42",4.86875790869817,1.74702454963699,6.57469801586482,1.34064858332288,1.28990664200612
"pse...43",5.05164217902347,0.427090503741056,6.57469808470351,1.34111924179687,1.28939992005806
"pse...44",-2.42776960367337,0.925551891792566,6.57469800254776,1.34064525688128,1.28955599329889
"pse...45",3.56426098616794,0.967452389188111,6.57469820503415,1.34047919184008,1.28925359341921
"pse...46",7.68813236150891,0.443223801441491,6.57469855907244,1.34089416679992,1.28874265935285
"pse...47",14.7353828768246,1.95945909665897,6.57469797276157,1.34074694111812,1.28978714583559
"pse...48",10.7708918815479,0.483028418850154,6.5746986083357,1.34070699095447,1.2906680799841
"pse...49",3.93997715553269,1.48809128301218,6.57469802882392,1.34109140473324,1.28973926564308
"pse...50",8.23211068287492,1.34967308910564,6.57469799255775,1.34084530991486,1.28947376630777
"pse...51",7.40335321985185,1.94818443665281,6.57469805082935,1.34053158210069,1.28955005213699
"pse...52",-10.8701321901754,1.49083702685311,6.57469808712862,1.34067284016256,1.29009653088695
"pse...53",-4.91306316806003,1.29541683150455,6.57469808554229,1.34045280917545,1.28960926018963
"pse...54",11.4502522791736,0.856978599913418,6.57469797574496,1.34070334636079,1.28964330090517
"pse...55",13.3049145620316,0.505520246457309,6.57469802458895,1.34100910286823,1.28945292944259
"pse...56",14.6616448508576,1.8122444706969,6.57469827763314,1.34069098311828,1.2890285260532
"pse...57",-14.4168034312315,1.10677122045308,6.57469802895828,1.3405674254301,1.28957359326236
"pse...58",-4.75212800083682,1.26142082549632,6.57470054942306,1.34031485003593,1.2878542325402
"pse...59",3.54894902324304,1.8458823855035,6.57469800686861,1.34065978229146,1.28951639631975
"pse...60",7.70932551473379,0.504852851387113,6.57469813419536,1.34049936602763,1.29006658284471
"pse...61",10.1540609216318,0.877452055457979,6.57469798444887,1.34070773491652,1.28956545908535
"pse...62",-3.35457114502788,1.30771703599021,6.57469812627689,1.34047213593607,1.28941602151012
"pse...63",-14.1814183071256,0.772552878130227,6.57469804580203,1.34107702079536,1.28946383591729
"pse...64",-11.3923907722346,0.298589018173516,6.57469809615214,1.34072866368393,1.2892601471918
"pse...65",10.5546809127554,1.64232668047771,6.57469805566585,1.34061082998994,1.28999248959566
"pse...66",-1.58624636242166,1.76318219350651,6.57469805156735,1.34099910208322,1.28997543628657
"pse...67",9.02730766218156,0.946886072400957,6.57469813537602,1.34082059045387,1.28917926026039
"pse...68",-4.34705653460696,1.51056965626776,6.57469812318533,1.34110488990948,1.29003221049426
