"","par1","par2","sse","pse","slope"
"pse...1",-1.00158169632778,0.670381907373667,9.9725173599627,4.26166723630722,2.6910991247161
"pse...2",-10.1154731540009,0.792240034788847,9.97251741192116,4.26171572651978,2.69187796967844
"pse...3",-14.088248074986,0.241769740357995,9.97251739385929,4.26159450083979,2.6908946095812
"pse...4",-2.21503028646111,1.23571576131508,9.97251731369356,4.26260559388732,2.6913678477076
"pse...5",-7.10375221911818,0.952647742349654,9.97251731461298,4.26240556379025,2.69191662415228
"pse...6",10.8695699600503,0.297757264226675,9.97251735166526,4.26192302893135,2.69063091306517
"pse...7",-9.58709761267528,1.99854662409052,9.9725174479482,4.26235307752978,2.69249975449114
"pse...8",10.252235471271,0.285298119764775,9.9725176353587,4.26183050044943,2.68973353143215
"pse...9",-4.65454840566963,1.77925090771168,9.97251757902071,4.26123270995566,2.69063436124078
"pse...10",-5.40455113397911,1.41803166735917,9.97251744125183,4.26263518724719,2.6905684546035
"pse...11",3.8445515697822,0.87634513201192,9.97251731172967,4.26239372348307,2.69190114838776
"pse...12",-4.80311915511265,1.86618517432362,9.97251735668471,4.2617099061012,2.69146441748464
"pse...13",6.38863236643374,1.26170374592766,9.97251728513415,4.26232922604102,2.69169235165098
"pse...14",7.39348310278729,0.22290057502687,9.97251740369931,4.26289711968631,2.6916742250057
"pse...15",-6.80134454509243,0.197036178316921,9.97251749058549,4.26185352481469,2.69236083035469
"pse...16",7.7258844813332,1.32718420773745,9.97251748013332,4.26306899338767,2.69154646115635
"pse...17",6.73083281842992,0.917893062811345,9.97251739022759,4.26274936082033,2.69205589224725
"pse...18",5.23195741698146,1.40102722961456,9.97251737259978,4.26214241702382,2.69217238467501
"pse...19",9.45216655964032,1.38236297573894,9.97251741502768,4.26285816695708,2.69200278371273
"pse...20",6.49237031349912,1.7811597827822,9.97251731849388,4.26262911630441,2.69158066528615
"pse...21",-4.79109353385866,1.33712569065392,9.97251770892098,4.26250421625374,2.69315154269743
"pse...22",-3.47238088957965,0.470226733479649,9.97251748415664,4.2625880609086,2.69036927695833
"pse...23",11.6549108549953,1.60290331766009,9.97251753765322,4.26260437446364,2.69273526417918
"pse...24",2.89283210411668,1.95403548283502,9.97251729961879,4.26249922544911,2.69168817816209
"pse...25",-5.15685097547248,1.61036005662754,9.9725175077174,4.26289095305145,2.69070922006417
"pse...26",-14.030538580846,0.896579755470157,9.9725177761649,4.26091222117361,2.6910899546098
"pse...27",-7.0580484601669,0.818535035476089,9.97251738550107,4.26243464517928,2.69227422411037
"pse...28",-9.16209599236026,1.08697502827272,9.97251736101048,4.26277542995571,2.69166923019523
"pse...29",13.0531110288575,1.54807522054762,9.97251742630568,4.2627860315495,2.69220943843817
"pse...30",14.9064975022338,1.6452516829595,9.97251740732431,4.26203585799818,2.69035067295263
"pse...31",-3.24883968103677,0.770498960278928,9.97251746791019,4.26249433945746,2.69255621100246
"pse...32",11.9741340028122,0.637706046923995,9.97251733863027,4.26226420373513,2.69206455582777
"pse...33",-8.73934552771971,1.12835434125736,9.97251742311641,4.26203316369283,2.69029443213605
"pse...34",-0.537466944660991,0.13022926542908,9.97251738334265,4.26283758710824,2.69140052072788
"pse...35",-7.16167943319306,0.660671283490956,9.97251735980849,4.26263983212384,2.69201962725476
"pse...36",-5.0830762507394,0.18470659153536,9.97251734108749,4.26229513761757,2.69067847591276
"pse...37",5.81980582326651,0.232979252003133,9.97251739015869,4.26267245353722,2.69084701824213
"pse...38",11.1179193668067,0.257341200485826,9.97251742770222,4.26193041529434,2.69029595550889
"pse...39",10.0613391492516,0.475383792072535,9.97251732808373,4.26181065776699,2.69148061054504
"pse...40",-1.48744178703055,1.66859723208472,9.972517369751,4.26205287101031,2.69049861107586
"pse...41",4.97390852775425,1.08823836874217,9.97251730715604,4.26188287179291,2.6910660731111
"pse...42",4.86875790869817,1.74702454963699,9.97251731704842,4.26183456301156,2.69105855746068
"pse...43",5.05164217902347,0.427090503741056,9.97251733455851,4.26237928010326,2.69076927564626
"pse...44",-2.42776960367337,0.925551891792566,9.97251732497376,4.2623838070138,2.69082779460379
"pse...45",3.56426098616794,0.967452389188111,9.97251730829845,4.26202373689125,2.69173260936422
"pse...46",7.68813236150891,0.443223801441491,9.97251765979132,4.2610949968063,2.69134339831987
"pse...47",14.7353828768246,1.95945909665897,9.97251733065378,4.26180599262157,2.69149771660574
"pse...48",10.7708918815479,0.483028418850154,9.97251737474721,4.26181138062582,2.69184871487666
"pse...49",3.93997715553269,1.48809128301218,9.97251730412982,4.2618881429821,2.69111162826665
"pse...50",8.23211068287492,1.34967308910564,9.97251731180025,4.26209061447947,2.69182712803391
"pse...51",7.40335321985185,1.94818443665281,9.97251732757933,4.26232123250928,2.69076473393279
"pse...52",-10.8701321901754,1.49083702685311,9.97251731053529,4.26217042267782,2.69187332395502
"pse...53",-4.91306316806003,1.29541683150455,9.97251749302346,4.26302140379747,2.69212447764317
"pse...54",11.4502522791736,0.856978599913418,9.97251797308408,4.26067955115611,2.69065248169829
"pse...55",13.3049145620316,0.505520246457309,9.9725173355756,4.26235427250259,2.69205456739123
"pse...56",14.6616448508576,1.8122444706969,9.97251785272318,4.26262161419605,2.68955498415897
"pse...57",-14.4168034312315,1.10677122045308,9.97251734464691,4.26182615798826,2.69077115564976
"pse...58",-4.75212800083682,1.26142082549632,9.97251736698948,4.26248357144335,2.6921792145381
"pse...59",3.54894902324304,1.8458823855035,9.97251729754989,4.26195821275099,2.6910288756768
