"","par1","par2","sse","pse","slope"
"pse...1",-1.00158169632778,0.670381907373667,6.07806067457871,3.902978324454,1.15876473732604
"pse...2",-10.1154731540009,0.792240034788847,6.07806080043829,3.90296145847519,1.1590728349846
"pse...3",-14.088248074986,0.241769740357995,6.07806066022634,3.90334620684547,1.15870994562701
"pse...4",-2.21503028646111,1.23571576131508,6.07806066833859,3.90336330195256,1.15846979326481
"pse...5",-7.10375221911818,0.952647742349654,6.07806066261029,3.90307872876262,1.15882783091259
"pse...6",10.8695699600503,0.297757264226675,6.07806080525303,3.90342617910403,1.15817141356563
"pse...7",-9.58709761267528,1.99854662409052,6.07806105498446,3.90370655101392,1.15904295630943
"pse...8",10.252235471271,0.285298119764775,6.07806066917253,3.90322783413254,1.15836760188646
"pse...9",-4.65454840566963,1.77925090771168,6.07806089952374,3.90332429854133,1.15920293388473
"pse...10",-5.40455113397911,1.41803166735917,6.0780607254869,3.90350457643342,1.15858931955651
"pse...11",3.8445515697822,0.87634513201192,6.07806078969771,3.90278937742938,1.15882930879681
"pse...12",-4.80311915511265,1.86618517432362,6.07806072912298,3.90291128588492,1.15887287424967
"pse...13",6.38863236643374,1.26170374592766,6.07806068568623,3.903129718341,1.15833527859873
"pse...14",7.39348310278729,0.22290057502687,6.07806082445335,3.90361756146712,1.15841089615546
"pse...15",-6.80134454509243,0.197036178316921,6.07806073501485,3.90292399226689,1.1583864882013
"pse...16",7.7258844813332,1.32718420773745,6.07806065403763,3.90311628166882,1.15881361336836
"pse...17",6.73083281842992,0.917893062811345,6.07806080722483,3.90274270928766,1.15868948637783
"pse...18",5.23195741698146,1.40102722961456,6.0780606947866,3.90320320982316,1.1589284614916
"pse...19",9.45216655964032,1.38236297573894,6.07806066217682,3.90328969413105,1.158413755095
"pse...20",6.49237031349912,1.7811597827822,6.07806063269211,3.90315905682531,1.15872066961523
"pse...21",-4.79109353385866,1.33712569065392,6.07806085646634,3.90367196070852,1.15852331874401
"pse...22",-3.47238088957965,0.470226733479649,6.07806072039763,3.90307719609249,1.15897766265703
"pse...23",11.6549108549953,1.60290331766009,6.07806065261465,3.90325286443583,1.15843016654427
"pse...24",2.89283210411668,1.95403548283502,6.07806066738201,3.90330848866209,1.1584081057924
"pse...25",-5.15685097547248,1.61036005662754,6.07806075294858,3.90349792842245,1.15836852984302
"pse...26",-14.030538580846,0.896579755470157,6.07806067556062,3.90318436160061,1.15888478008139
"pse...27",-7.0580484601669,0.818535035476089,6.07806069818178,3.90300861877559,1.15889074395589
"pse...28",-9.16209599236026,1.08697502827272,6.07806069361428,3.90291201657413,1.15866717728645
"pse...29",13.0531110288575,1.54807522054762,6.07806070471812,3.90337389708145,1.15884464956949
"pse...30",14.9064975022338,1.6452516829595,6.0780606933776,3.90301670112377,1.15888345732126
"pse...31",-3.24883968103677,0.770498960278928,6.07806071495482,3.90287987387701,1.15872961523085
"pse...32",11.9741340028122,0.637706046923995,6.07806070071957,3.90299559364491,1.15888695255127
"pse...33",-8.73934552771971,1.12835434125736,6.0780607870089,3.90276791573828,1.15869081648382
"pse...34",-0.537466944660991,0.13022926542908,6.07806083706788,3.90354432421586,1.15822620988075
"pse...35",-7.16167943319306,0.660671283490956,6.07806066465257,3.90300503852908,1.15875954860916
"pse...36",-5.0830762507394,0.18470659153536,6.07806063855342,3.90315990916394,1.15848325179866
"pse...37",5.81980582326651,0.232979252003133,6.07806069409639,3.90333414627593,1.15834263677511
"pse...38",11.1179193668067,0.257341200485826,6.07806093646576,3.90328280821136,1.15926066648994
"pse...39",10.0613391492516,0.475383792072535,6.07806065756443,3.90331825154639,1.15874366525965
"pse...40",-1.48744178703055,1.66859723208472,6.07806065558146,3.90335793836538,1.15861721671071
"pse...41",4.97390852775425,1.08823836874217,6.07806064301571,3.90310982794602,1.1587626486822
"pse...42",4.86875790869817,1.74702454963699,6.07806063234995,3.90326684958337,1.15861383252216
"pse...43",5.05164217902347,0.427090503741056,6.07806072036659,3.90349606733117,1.15859447543787
"pse...44",-2.42776960367337,0.925551891792566,6.07806067487162,3.90303861531979,1.15884298400216
"pse...45",3.56426098616794,0.967452389188111,6.07806067024852,3.90300213921062,1.15878440392797
"pse...46",7.68813236150891,0.443223801441491,6.07806101413174,3.90256405457963,1.15888945377235
"pse...47",14.7353828768246,1.95945909665897,6.07806067031804,3.90339001055622,1.15866041525676
"pse...48",10.7708918815479,0.483028418850154,6.07806068181074,3.90298337702211,1.1588086469646
"pse...49",3.93997715553269,1.48809128301218,6.07806063413097,3.90327641662898,1.15862031932622
"pse...50",8.23211068287492,1.34967308910564,6.07806081243633,3.90352184397883,1.15890706089178
"pse...51",7.40335321985185,1.94818443665281,6.07806064417273,3.90303951820706,1.15865469274309
"pse...52",-10.8701321901754,1.49083702685311,6.07806065419229,3.9033230277596,1.15848400459327
"pse...53",-4.91306316806003,1.29541683150455,6.07806073807989,3.90319871607778,1.15901569313483
"pse...54",11.4502522791736,0.856978599913418,6.0780609177914,3.90262670641727,1.15863322840596
"pse...55",13.3049145620316,0.505520246457309,6.07806075531005,3.90317845409953,1.15904814912291
"pse...56",14.6616448508576,1.8122444706969,6.07806087663337,3.90368891023932,1.15847427785406
"pse...57",-14.4168034312315,1.10677122045308,6.07806065250674,3.90330415626568,1.15873738759593
"pse...58",-4.75212800083682,1.26142082549632,6.07806080057145,3.90312934091973,1.15812683245172
"pse...59",3.54894902324304,1.8458823855035,6.0780606336492,3.90327436231802,1.15859955559359
"pse...60",7.70932551473379,0.504852851387113,6.07806076742888,3.90351255361749,1.15880857460724
"pse...61",10.1540609216318,0.877452055457979,6.07806065858874,3.9030171048464,1.15852758165989
"pse...62",-3.35457114502788,1.30771703599021,6.07806066519194,3.90310360003292,1.15884791336307
"pse...63",-14.1814183071256,0.772552878130227,6.07806064953049,3.9030363163331,1.15871663421447
"pse...64",-11.3923907722346,0.298589018173516,6.07806097626241,3.9026140250102,1.15894049315365
"pse...65",10.5546809127554,1.64232668047771,6.07806071505231,3.90322822339374,1.15825833190379
"pse...66",-1.58624636242166,1.76318219350651,6.07806062661597,3.90321626425228,1.15863133506198
"pse...67",9.02730766218156,0.946886072400957,6.07806077556149,3.90290040507794,1.15897900062466
"pse...68",-4.34705653460696,1.51056965626776,6.07806092086479,3.90359995752572,1.15899571753217
"pse...69",10.5775444814935,0.197961130645126,6.07806067751989,3.90295465243664,1.15872023621659
"pse...70",9.67875403119251,1.63090453203768,6.07806067995878,3.90323292641636,1.15888375680146
"pse...71",-12.9113126196899,0.490221036132425,6.0780608402115,3.90270592909111,1.15871745866458
"pse...72",-9.6570376935415,0.592606540769339,8.97222256162057,-7868913.05745777,-70580891.1696316
"pse...73",-1.01491556502879,0.162787829060107,6.07806066085999,3.90322729903661,1.15883058645929
"pse...74",-9.20684207696468,0.560268068686128,8.97222230784799,-17014734.4688954,-152976427.53232
"pse...75",7.50526732066646,0.456328784115613,6.07806067908731,3.90311756489823,1.15889210824783
"pse...76",-0.964850359596312,0.131362666375935,6.07806065453669,3.90326491132903,1.15842833552028
"pse...77",-1.49918372975662,0.340183107182384,6.07806087307329,3.90299103068979,1.15808714819081
"pse...78",-4.53343437518924,1.10467529250309,6.07806070531139,3.9029371157853,1.15845995726188
"pse...79",0.201385330874473,0.916464297100902,6.07806065220865,3.90301880116054,1.1586945091612
