"","par1","par2","sse","pse","slope"
"pse...1",-1.00158169632778,0.670381907373667,5.76946725180063,-2.95496108735301,1.47223484526834
"pse...2",-10.1154731540009,0.792240034788847,5.76946724369519,-2.95539302959388,1.47261542892343
"pse...3",-14.088248074986,0.241769740357995,5.76946725018786,-2.9551666486071,1.47261632723772
"pse...4",-2.21503028646111,1.23571576131508,5.76946722398153,-2.95515650246338,1.4720148330904
"pse...5",-7.10375221911818,0.952647742349654,5.76946722200539,-2.95512622446772,1.47205241148375
"pse...6",10.8695699600503,0.297757264226675,5.76946725861701,-2.9552864955335,1.47185490477327
"pse...7",-9.58709761267528,1.99854662409052,5.76946720748621,-2.95516058515556,1.47216119180051
"pse...8",10.252235471271,0.285298119764775,5.76946742975256,-2.95538582434679,1.47148516386664
"pse...9",-4.65454840566963,1.77925090771168,5.76946725981182,-2.95514296815579,1.47185342421661
"pse...10",-5.40455113397911,1.41803166735917,5.7694672206774,-2.95507985594623,1.47214983682278
"pse...11",3.8445515697822,0.87634513201192,5.76946729020205,-2.95522755710523,1.47174669151518
"pse...12",-4.80311915511265,1.86618517432362,5.76946722695505,-2.95534728711833,1.47255124905002
"pse...13",6.38863236643374,1.26170374592766,5.76946722369041,-2.95532785085623,1.47202206309238
"pse...14",7.39348310278729,0.22290057502687,5.7694673809949,-2.95547049786228,1.47162790696181
"pse...15",-6.80134454509243,0.197036178316921,5.76946724850592,-2.95551686834662,1.47251510368106
"pse...16",7.7258844813332,1.32718420773745,5.76946723224545,-2.95510476565807,1.47200331468944
"pse...17",6.73083281842992,0.917893062811345,5.76946729985182,-2.95485921380242,1.47233248061757
"pse...18",5.23195741698146,1.40102722961456,5.76946723698202,-2.95551435639283,1.47222511850342
"pse...19",9.45216655964032,1.38236297573894,5.76946727843533,-2.95544620341693,1.47272468000872
"pse...20",6.49237031349912,1.7811597827822,5.7694672292047,-2.95518729400886,1.47197234967968
"pse...21",-4.79109353385866,1.33712569065392,5.76946720008844,-2.95522536187379,1.47221949098959
"pse...22",-3.47238088957965,0.470226733479649,5.76946727261853,-2.95500497431975,1.4725399049336
"pse...23",11.6549108549953,1.60290331766009,5.76946725759315,-2.95555454535554,1.47250218371376
"pse...24",2.89283210411668,1.95403548283502,5.76946727004353,-2.95491675757427,1.47212918465521
"pse...25",-5.15685097547248,1.61036005662754,5.7694672184348,-2.9554229102469,1.47242575082569
"pse...26",-14.030538580846,0.896579755470157,5.76946722699699,-2.95527345933109,1.47198230221308
"pse...27",-7.0580484601669,0.818535035476089,5.76946724678856,-2.95552008490058,1.47249523919356
"pse...28",-9.16209599236026,1.08697502827272,5.76946721788767,-2.95520551707296,1.47248152104114
"pse...29",13.0531110288575,1.54807522054762,5.76946724183795,-2.95506543477718,1.47198693120538
"pse...30",14.9064975022338,1.6452516829595,5.7694672888673,-2.95552231270025,1.47270787684711
"pse...31",-3.24883968103677,0.770498960278928,5.76946721287158,-2.95511474165027,1.47230171311503
"pse...32",11.9741340028122,0.637706046923995,5.76946729853189,-2.9552311593611,1.47280027837066
"pse...33",-8.73934552771971,1.12835434125736,5.76946741885369,-2.95577771587183,1.47281615667667
"pse...34",-0.537466944660991,0.13022926542908,5.76946732541928,-2.95548618265369,1.47284717414496
"pse...35",-7.16167943319306,0.660671283490956,5.76946721364329,-2.95510319161868,1.47223310319668
"pse...36",-5.0830762507394,0.18470659153536,5.76946722302163,-2.95546399084047,1.47223405835262
"pse...37",5.81980582326651,0.232979252003133,5.76946726059755,-2.95511721398299,1.471860672542
"pse...38",11.1179193668067,0.257341200485826,5.76946724200637,-2.95553646402902,1.47225983739672
"pse...39",10.0613391492516,0.475383792072535,5.76946736704888,-2.95511422498299,1.4729134585748
"pse...40",-1.48744178703055,1.66859723208472,5.76946723700869,-2.95510544679957,1.47250175096694
"pse...41",4.97390852775425,1.08823836874217,5.76946723695189,-2.95508791014651,1.47247862087732
"pse...42",4.86875790869817,1.74702454963699,5.76946721893373,-2.95509697362726,1.47234632445878
"pse...43",5.05164217902347,0.427090503741056,5.76946722323549,-2.95505930851357,1.4722613050608
"pse...44",-2.42776960367337,0.925551891792566,5.76946737415387,-2.9547189413223,1.47205097522983
"pse...45",3.56426098616794,0.967452389188111,5.76946736205935,-2.9553411725648,1.47159935523939
"pse...46",7.68813236150891,0.443223801441491,5.76946721987385,-2.95519433023392,1.47248676480432
"pse...47",14.7353828768246,1.95945909665897,5.76946723236649,-2.95513167987344,1.47198106090342
"pse...48",10.7708918815479,0.483028418850154,5.76946727961355,-2.95517020604176,1.47178012202667
"pse...49",3.93997715553269,1.48809128301218,5.76946728311702,-2.95529582897952,1.47177925719331
"pse...50",8.23211068287492,1.34967308910564,5.76946723335649,-2.95550991736625,1.47227927632256
"pse...51",7.40335321985185,1.94818443665281,5.76946727794487,-2.95550930241377,1.47267761351387
"pse...52",-10.8701321901754,1.49083702685311,5.76946725764699,-2.95499024967685,1.4724307555064
"pse...53",-4.91306316806003,1.29541683150455,5.76946723507037,-2.95503293307316,1.47209728275007
"pse...54",11.4502522791736,0.856978599913418,5.76946727605667,-2.95555073158813,1.47202298102877
"pse...55",13.3049145620316,0.505520246457309,5.76946724793185,-2.9550972858646,1.47192561424475
"pse...56",14.6616448508576,1.8122444706969,5.76946723446328,-2.95511417196503,1.47249784743293
"pse...57",-14.4168034312315,1.10677122045308,5.7694672497834,-2.95518326057644,1.47262465390104
"pse...58",-4.75212800083682,1.26142082549632,5.76946722306018,-2.95513679994818,1.47245352703585
"pse...59",3.54894902324304,1.8458823855035,5.76946725796044,-2.95538946186049,1.47190801617996
"pse...60",7.70932551473379,0.504852851387113,5.76946731480602,-2.9548150153271,1.47217385596088
"pse...61",10.1540609216318,0.877452055457979,5.76946722913631,-2.95509339410201,1.47203660878866
"pse...62",-3.35457114502788,1.30771703599021,5.76946721915643,-2.95513278793055,1.47206826175779
"pse...63",-14.1814183071256,0.772552878130227,5.76946776015226,-2.95595457946402,1.47331740323443
"pse...64",-11.3923907722346,0.298589018173516,5.76946725966022,-2.95516168175877,1.47264925621449
"pse...65",10.5546809127554,1.64232668047771,5.76946729994206,-2.95534400171062,1.4728175069559
"pse...66",-1.58624636242166,1.76318219350651,5.76946720409212,-2.95522816010212,1.47237867869826
"pse...67",9.02730766218156,0.946886072400957,5.76946722824524,-2.95538774976104,1.47253929884629
"pse...68",-4.34705653460696,1.51056965626776,5.76946722232678,-2.95516342397518,1.47247709526718
"pse...69",10.5775444814935,0.197961130645126,5.76946723471453,-2.9554660681095,1.47211167840983
"pse...70",9.67875403119251,1.63090453203768,5.76946726735866,-2.95560953459745,1.47238144320506
"pse...71",-12.9113126196899,0.490221036132425,5.7694672782447,-2.95550899432925,1.47267910318901
"pse...72",-9.6570376935415,0.592606540769339,5.76946731526168,-2.95482095554731,1.47228624499383
"pse...73",-1.01491556502879,0.162787829060107,5.76946730577104,-2.95523483999971,1.47282061356246
