"","par1","par2","sse","pse","slope"
"pse...1",-1.00158169632778,0.670381907373667,5.19110207962019,-1.31825360326147,1.37632714947162
"pse...2",-10.1154731540009,0.792240034788847,5.19110206764575,-1.31838804368004,1.37673475544568
"pse...3",-14.088248074986,0.241769740357995,5.19110208289203,-1.31813896161945,1.37642044408874
"pse...4",-2.21503028646111,1.23571576131508,5.19110206092274,-1.3183160519658,1.37668362046266
"pse...5",-7.10375221911818,0.952647742349654,5.19110228014284,-1.31893239233516,1.37687451939926
"pse...6",10.8695699600503,0.297757264226675,5.19110214906727,-1.31853516444205,1.37697837272334
"pse...7",-9.58709761267528,1.99854662409052,5.19110214660458,-1.318223066329,1.37611598353383
"pse...8",10.252235471271,0.285298119764775,5.19110211100687,-1.31862726457531,1.37641721762058
"pse...9",-4.65454840566963,1.77925090771168,5.19110207607206,-1.31814265622464,1.37653529297715
"pse...10",-5.40455113397911,1.41803166735917,5.19110211632673,-1.31801239796022,1.37651271894909
"pse...11",3.8445515697822,0.87634513201192,5.19110208333185,-1.3185711254191,1.37664654529121
"pse...12",-4.80311915511265,1.86618517432362,5.19110210565298,-1.3185055481919,1.37628579219428
"pse...13",6.38863236643374,1.26170374592766,5.19110209304723,-1.3181274977734,1.37636362565779
"pse...14",7.39348310278729,0.22290057502687,5.19110222225473,-1.31881477775891,1.37691209352549
"pse...15",-6.80134454509243,0.197036178316921,5.19110217804017,-1.31881188392227,1.37655304374425
"pse...16",7.7258844813332,1.32718420773745,5.19110209540572,-1.31853562871679,1.37679496766051
"pse...17",6.73083281842992,0.917893062811345,5.19110219063525,-1.31820378159699,1.37602171645312
"pse...18",5.23195741698146,1.40102722961456,5.1911021791202,-1.31870096149272,1.37693462571521
"pse...19",9.45216655964032,1.38236297573894,5.19110210720515,-1.31831112652089,1.37621246710478
"pse...20",6.49237031349912,1.7811597827822,5.19110211396896,-1.31818134976065,1.37622485895851
"pse...21",-4.79109353385866,1.33712569065392,5.19110207906108,-1.31845757606697,1.37677203306159
"pse...22",-3.47238088957965,0.470226733479649,5.19110210209162,-1.3185834578875,1.37638830698847
"pse...23",11.6549108549953,1.60290331766009,5.19110210213403,-1.31807447470947,1.37665118329431
"pse...24",2.89283210411668,1.95403548283502,5.191102086882,-1.31821041807626,1.37631486104089
"pse...25",-5.15685097547248,1.61036005662754,5.19110210315607,-1.31851875280654,1.37630637161957
"pse...26",-14.030538580846,0.896579755470157,5.19110207349306,-1.31841066660424,1.37636232039365
"pse...27",-7.0580484601669,0.818535035476089,5.1911021976309,-1.31809148607012,1.37700615679178
"pse...28",-9.16209599236026,1.08697502827272,5.19110206420707,-1.31831655731509,1.37670801633358
"pse...29",13.0531110288575,1.54807522054762,5.19110210123553,-1.31850801383033,1.37684150773868
"pse...30",14.9064975022338,1.6452516829595,5.19110230396586,-1.3189838220367,1.3764281184935
"pse...31",-3.24883968103677,0.770498960278928,5.19110220188695,-1.31785521306964,1.3766548982609
"pse...32",11.9741340028122,0.637706046923995,5.19110216410736,-1.31823684425813,1.37607183805008
"pse...33",-8.73934552771971,1.12835434125736,5.19110218849247,-1.3178690866568,1.37639647054349
"pse...34",-0.537466944660991,0.13022926542908,5.1911020598982,-1.31842978394466,1.37647621494712
"pse...35",-7.16167943319306,0.660671283490956,5.19110235314482,-1.31857235220398,1.37733896292054
"pse...36",-5.0830762507394,0.18470659153536,5.19110209956543,-1.31833561718188,1.37687072461914
"pse...37",5.81980582326651,0.232979252003133,5.19110332740877,-1.31685762178811,1.37633340117787
"pse...38",11.1179193668067,0.257341200485826,5.19110215856223,-1.31853436605856,1.37700299805903
"pse...39",10.0613391492516,0.475383792072535,5.1911021183383,-1.31806710775365,1.37631243588765
"pse...40",-1.48744178703055,1.66859723208472,5.19110207134046,-1.31824537574902,1.37637676331579
"pse...41",4.97390852775425,1.08823836874217,5.19110222644025,-1.31782683173423,1.3767000684973
"pse...42",4.86875790869817,1.74702454963699,5.19110217357869,-1.31807790973393,1.3761145663129
"pse...43",5.05164217902347,0.427090503741056,5.19110258347223,-1.31748052254802,1.37692260370756
"pse...44",-2.42776960367337,0.925551891792566,5.19110209976587,-1.31810956941565,1.37670969720849
"pse...45",3.56426098616794,0.967452389188111,5.19110212220255,-1.31846433447032,1.37693074109265
"pse...46",7.68813236150891,0.443223801441491,5.19110209171438,-1.31814251096347,1.3767149801568
"pse...47",14.7353828768246,1.95945909665897,5.19110211200447,-1.31865139408864,1.37670465604414
"pse...48",10.7708918815479,0.483028418850154,5.19110213724022,-1.31799443096889,1.37668827345134
"pse...49",3.93997715553269,1.48809128301218,5.19110207327679,-1.31841867074577,1.37675885538589
