"","par1","par2","sse","pse","slope"
"pse...1",-1.00158169632778,0.670381907373667,7.2074414095672,1.31167575527449,1.64922901416976
"pse...2",-10.1154731540009,0.792240034788847,7.2074415173717,1.31236344689661,1.64927633329025
"pse...3",-14.088248074986,0.241769740357995,7.20744143361641,1.31208285862418,1.64985391956665
"pse...4",-2.21503028646111,1.23571576131508,7.20744161123981,1.31232525150457,1.65034855441255
"pse...5",-7.10375221911818,0.952647742349654,7.20744147922148,1.31216748557203,1.65001819318956
"pse...6",10.8695699600503,0.297757264226675,7.20744141293331,1.31201765213708,1.64912259045473
"pse...7",-9.58709761267528,1.99854662409052,7.20744145484018,1.31166568104535,1.64885112710273
"pse...8",10.252235471271,0.285298119764775,7.20744142192786,1.31215042563025,1.64955372128897
"pse...9",-4.65454840566963,1.77925090771168,7.20744139211167,1.3119592283991,1.6492635299705
"pse...10",-5.40455113397911,1.41803166735917,7.20744142789269,1.31216827339552,1.64939000581351
"pse...11",3.8445515697822,0.87634513201192,7.207441612523,1.31126851259688,1.64962246778031
"pse...12",-4.80311915511265,1.86618517432362,7.20744149417029,1.31233206686562,1.64936329916342
"pse...13",6.38863236643374,1.26170374592766,7.20744141982517,1.31163740654386,1.6491947712367
"pse...14",7.39348310278729,0.22290057502687,7.20744149883549,1.31222630323455,1.65003764027926
"pse...15",-6.80134454509243,0.197036178316921,7.20744140069523,1.31173666374128,1.64919920427079
"pse...16",7.7258844813332,1.32718420773745,7.20744149837766,1.31141934426478,1.64933978504473
"pse...17",6.73083281842992,0.917893062811345,7.20744145946339,1.31150614407735,1.6493351017974
"pse...18",5.23195741698146,1.40102722961456,7.20744152222221,1.31202812414707,1.64862745263813
"pse...19",9.45216655964032,1.38236297573894,7.20744153046908,1.31193665822095,1.64854611688707
"pse...20",6.49237031349912,1.7811597827822,7.20744140649073,1.31207990499326,1.64934776172046
"pse...21",-4.79109353385866,1.33712569065392,7.20744144372327,1.31167086088974,1.64977603581738
"pse...22",-3.47238088957965,0.470226733479649,7.20744145134455,1.3122423135349,1.64945802043062
"pse...23",11.6549108549953,1.60290331766009,7.20744157538949,1.31170266128842,1.6483945275493
"pse...24",2.89283210411668,1.95403548283502,7.2074413997527,1.31189942542746,1.64912375308542
"pse...25",-5.15685097547248,1.61036005662754,7.20744147795652,1.31194055096582,1.64872417633437
"pse...26",-14.030538580846,0.896579755470157,7.20744157934593,1.31242839661074,1.65002883721707
"pse...27",-7.0580484601669,0.818535035476089,7.20744144636557,1.31206537573254,1.64994603161371
"pse...28",-9.16209599236026,1.08697502827272,7.20744222819027,1.31065564546825,1.64958473943867
"pse...29",13.0531110288575,1.54807522054762,7.20744162804499,1.31120204861051,1.64924178301785
"pse...30",14.9064975022338,1.6452516829595,7.2074414229402,1.31176056020345,1.64977107385028
"pse...31",-3.24883968103677,0.770498960278928,7.20744146162156,1.31204607867135,1.65003270223
"pse...32",11.9741340028122,0.637706046923995,7.20744142679247,1.3116790784845,1.64901657901086
"pse...33",-8.73934552771971,1.12835434125736,7.20744143325599,1.31186574322656,1.64889176615957
"pse...34",-0.537466944660991,0.13022926542908,7.20744140829503,1.31167631051251,1.64942897815568
"pse...35",-7.16167943319306,0.660671283490956,7.20744141000237,1.31182644773578,1.64974405790306
"pse...36",-5.0830762507394,0.18470659153536,7.2074416775917,1.31244846381327,1.64874944825504
"pse...37",5.81980582326651,0.232979252003133,7.20744147199609,1.31190693815372,1.64873198579236
"pse...38",11.1179193668067,0.257341200485826,7.20744146530462,1.31226986627043,1.6493761909587
"pse...39",10.0613391492516,0.475383792072535,7.20744151262437,1.31226745669019,1.64899279190433
