sid,oc,vv,frame_size,perc,frame
30201cc,2.680251214498287,-0.2194845202442572,175,2.2281647865,Small
30201cc,1.332649077105206,-1.1937553768052198,410,1.724961564,Medium
30201cc,1.2640682361335285,-0.9160971441460428,645,1.537479942,Large
30201cc,1.1996425733685079,-1.3401758715772427,880,1.4732674475,Extra Large
30201ms,2.582544872006123,4.776381779821016,175,2.086996633,Small
30201ms,2.025159400862475,4.126839534107821,410,3.541433522,Medium
30201ms,2.9719215559147685,1.1662418679437616,645,4.10594043,Large
30201ms,1.9370413174728491,1.9300931142888609,880,2.735835044,Extra Large
30202is,0.4625624921541447,1.764243168329786,175,3.990720367,Small
30202is,1.6824556737142338,1.3426227262114472,410,3.1730637035,Medium
30202is,0.5947186081264348,2.9441729039763636,645,3.2189379209999998,Large
30202is,-0.8763234971823257,1.8904411818908489,880,2.5772298295,Extra Large
30205gr,1.9761145227860557,-0.03155158884899034,175,-0.2725150985,Small
30205gr,-0.015558095081269152,-0.5216800100679677,410,1.2503291095,Medium
30205gr,0.6694404668262863,0.9906864452509891,645,1.1730693804999999,Large
30205gr,-0.07061360799297467,1.6174237499587307,880,0.7470762295000001,Extra Large
30205jp,1.5188391390133411,0.7000451941461909,175,0.6851466509999999,Small
30205jp,0.7114202280584313,1.55652038906045,410,1.699969223,Medium
30205jp,0.1944936199461204,0.4446312493255138,645,0.9848448825000002,Large
30205jp,0.8716971594922526,0.11320923465071164,880,0.28457484099999997,Extra Large
30205sb,-0.4676310509372934,0.38256172294130186,175,1.3958778129999998,Small
30205sb,-0.62816195507603,0.4673162622213185,410,0.85829787849999994,Medium
30205sb,-0.917559302406737,1.0435658535770458,645,0.7491734355,Large
30205sb,0.29842148607785157,0.45379828892875507,880,0.7733818305,Extra Large
30208lj,4.762200482882871,5.0610288976358815,175,2.3821280204999997,Small
30208lj,2.306952543423148,3.756458011277123,410,1.617990031,Medium
30208lj,1.8564795323073493,2.7308015205884244,645,2.5871936965,Large
30208lj,0.9570728936882199,1.9057971212491476,880,1.2983711375,Extra Large
30217af,2.0965384818298514,0.38871313721917855,175,2.2339938555,Small
30217af,0.3631859898184384,-0.3680801911665814,410,0.9912682740000001,Medium
30217af,-0.025592092988648174,2.1114426946431077,645,1.029755816,Large
30217af,-0.7501627149296408,0.5976662801375495,880,1.214582464,Extra Large
30301av,1.6998554005441566,0.5662123203775962,175,2.356864561,Small
30301av,1.6244794831077398,1.4625302677090635,410,2.292680349,Medium
30301av,0.6562572623075151,1.5778341397250077,645,3.3007406895,Large
30301av,0.8178987834765963,1.0737636230652479,880,2.7712747149999997,Extra Large
30301sb,0.821507329781346,2.735808534434413,175,2.5163531399999997,Small
30301sb,0.04775008349281773,2.7681718518772085,410,3.3052045075,Medium
30301sb,1.2706164497976935,2.866880097434673,645,4.0297382365,Large
30301sb,-0.6447376764794797,0.13010639823362835,880,3.2970865215000003,Extra Large
30302sw,1.5340051931636653,4.427201961673757,175,3.487812557,Small
30302sw,1.7024351003484233,7.977367618745642,410,3.769029241,Medium
30302sw,2.133024842983051,5.912758230242382,645,2.980139743,Large
30302sw,1.8109528711685805,5.080300416438665,880,2.281639235,Extra Large
30303nm,0.45169638449359173,0.3204907880107186,175,1.9702484990000002,Small
30303nm,-0.5905543658926553,1.1282480297247712,410,2.1403282910000003,Medium
30303nm,-0.040711406823290996,1.2198887203751816,645,2.9333561025000003,Large
30303nm,-2.332334005772003,0.9472886097946973,880,2.61373319,Extra Large
30303vm,-4.512125681154854,1.2503343277610917,175,0.9418196214999999,Small
30303vm,2.974106905858369,0.015609834511817577,410,1.0394241770000001,Medium
30303vm,-0.24057864597907108,1.3493924611767014,645,0.9693371265,Large
30303vm,2.4967527508509377,3.886826595207577,880,0.9951410009999999,Extra Large
30308dh,0.7729287503244269,0.5357215352355162,175,1.0992534305000001,Small
30308dh,1.1940255767692023,0.055508072870424474,410,1.016698185,Medium
30308dh,-0.5487764829883244,-0.5975904552100086,645,0.5110904885000003,Large
30308dh,0.34841606297858796,0.8513658856020951,880,0.6516822830000004,Extra Large
30310kl,1.1872248452643626,3.0174691428234306,175,2.3753674555,Small
30310kl,-0.7784254468913079,2.8134836544552333,410,0.9909226605000001,Medium
30310kl,-0.5011928681663731,0.7185834098824664,645,1.041883265,Large
30310kl,0.04654390020902799,0.9478527940831194,880,1.3412247650000002,Extra Large
30313jp,0.22799399318878233,2.422016811594135,175,1.1100015140000001,Small
30313jp,0.0654444551110096,1.2066004249411217,410,1.2640082995000002,Medium
30313jp,0.08518695139374532,0.8455111306648502,645,1.4438386475000002,Large
30313jp,0.22811608899266433,1.5846184433381598,880,1.1247894120000002,Extra Large
30314am,1.1780488637308109,1.2650532703230182,175,1.8048204939999999,Small
30314am,2.398665766762356,0.5437606008801326,410,2.105106813,Medium
30314am,2.8893940432591876,0.627827679151272,645,2.2977619044999997,Large
30314am,1.7438362643156435,0.9673674401499794,880,1.717923672,Extra Large
30317em,0.44326298698339217,0.8867758465678286,175,2.1878994695,Small
30317em,-0.38044724458057644,0.39589805600468136,410,0.9820304099999999,Medium
30317em,-0.7823236855473619,0.15041281059409903,645,0.8982217140000001,Large
30317em,-0.053939619882519274,1.8655761895389005,880,1.141448671,Extra Large
30404jm,1.4913921958480265,2.3927366677308513,175,1.2157816965000001,Small
30404jm,-2.382917388118533,8.343020046936738,410,1.068898093,Medium
30404jm,0.312599523160094,1.6184075044679165,645,0.8558266195,Large
30404jm,0.2998001680801954,2.381832571457202,880,0.7730827315,Extra Large
30406db,3.582242671516423,1.3763754375181239,175,4.183586612,Small
30406db,3.2930358019225356,3.5580011185133475,410,4.173869899,Medium
30406db,0.6368871846178181,3.2896792363183223,645,2.7440035625,Large
30406db,2.1746059078623743,2.122094925200535,880,3.0344196070000002,Extra Large
30410mc,4.070821101633043,0.6266742225809896,175,1.527862658,Small
30410mc,1.0448384164343425,1.253248444981342,410,0.9858661825000001,Medium
30410mc,0.16272079360606156,0.242310219595605,645,1.2558996164999998,Large
30410mc,1.285908161962523,0.23466667244583866,880,0.42492144099999996,Extra Large
30411ao,1.5597209404247412,0.6834503254935909,175,1.641249598,Small
30411ao,0.8070295171588018,0.6387825609233256,410,1.7003823715,Medium
30411ao,1.679632540626998,0.5876637606926212,645,1.6219432625,Large
30411ao,1.91189688062722,-0.3094046376019775,880,1.3096090679999999,Extra Large
30414sh,1.5096144006224779,4.362822542878856,175,2.043054146,Small
30414sh,-0.4156452728999124,-0.15629580430874057,410,1.7349393655,Medium
30414sh,-0.5381483360435919,2.424845592057514,645,1.9516703475000001,Large
30414sh,0.49181369511190165,-0.22002966114887546,880,1.8984259165000001,Extra Large
30417mg,-0.05746503036995487,1.6128854586787083,175,2.2544204175,Small
30417mg,0.006951579501400795,0.6752668601240801,410,2.263566493,Medium
30417mg,0.14532271780346262,0.5021411273017505,645,2.474961291,Large
30417mg,-0.47013216959710435,0.9476282917299828,880,1.8678010019999998,Extra Large
30418sf,1.7012541888715176,0.17369432980652477,175,1.3413067925,Small
30418sf,1.5501743772577954,0.1824476555124046,410,1.2073716075,Medium
30418sf,2.4025379425233147,0.34214601194666416,645,1.3648437245,Large
30418sf,0.8933183657821715,0.7393307078324138,880,0.9421670299999999,Extra Large
30420im,0.6532730855383361,-0.11269683178552237,175,0.8554307889999999,Small
