"","sid","frame_size","magnitude","task"
"1","30201cc","Small",2.2281647865,"perception"
"2","30201cc","Medium",1.724961564,"perception"
"3","30201cc","Large",1.537479942,"perception"
"4","30201cc","Extra Large",1.4732674475,"perception"
"5","30201ms","Small",2.086996633,"perception"
"6","30201ms","Medium",3.541433522,"perception"
"7","30201ms","Large",4.10594043,"perception"
"8","30201ms","Extra Large",2.735835044,"perception"
"9","30202is","Small",3.990720367,"perception"
"10","30202is","Medium",3.1730637035,"perception"
"11","30202is","Large",3.218937921,"perception"
"12","30202is","Extra Large",2.5772298295,"perception"
"13","30205gr","Small",-0.2725150985,"perception"
"14","30205gr","Medium",1.2503291095,"perception"
"15","30205gr","Large",1.1730693805,"perception"
"16","30205gr","Extra Large",0.7470762295,"perception"
"17","30205jp","Small",0.685146651,"perception"
"18","30205jp","Medium",1.699969223,"perception"
"19","30205jp","Large",0.9848448825,"perception"
"20","30205jp","Extra Large",0.284574841,"perception"
"21","30205sb","Small",1.395877813,"perception"
"22","30205sb","Medium",0.8582978785,"perception"
"23","30205sb","Large",0.7491734355,"perception"
"24","30205sb","Extra Large",0.7733818305,"perception"
"25","30208lj","Small",2.3821280205,"perception"
"26","30208lj","Medium",1.617990031,"perception"
"27","30208lj","Large",2.5871936965,"perception"
"28","30208lj","Extra Large",1.2983711375,"perception"
"29","30217af","Small",2.2339938555,"perception"
"30","30217af","Medium",0.991268274,"perception"
"31","30217af","Large",1.029755816,"perception"
"32","30217af","Extra Large",1.214582464,"perception"
"33","30301av","Small",2.356864561,"perception"
"34","30301av","Medium",2.292680349,"perception"
"35","30301av","Large",3.3007406895,"perception"
"36","30301av","Extra Large",2.771274715,"perception"
"37","30301sb","Small",2.51635314,"perception"
"38","30301sb","Medium",3.3052045075,"perception"
"39","30301sb","Large",4.0297382365,"perception"
"40","30301sb","Extra Large",3.2970865215,"perception"
"41","30302sw","Small",3.487812557,"perception"
"42","30302sw","Medium",3.769029241,"perception"
"43","30302sw","Large",2.980139743,"perception"
"44","30302sw","Extra Large",2.281639235,"perception"
"45","30303nm","Small",1.970248499,"perception"
"46","30303nm","Medium",2.140328291,"perception"
"47","30303nm","Large",2.9333561025,"perception"
"48","30303nm","Extra Large",2.61373319,"perception"
"49","30303vm","Small",0.9418196215,"perception"
"50","30303vm","Medium",1.039424177,"perception"
"51","30303vm","Large",0.9693371265,"perception"
"52","30303vm","Extra Large",0.995141001,"perception"
"53","30308dh","Small",1.0992534305,"perception"
"54","30308dh","Medium",1.016698185,"perception"
"55","30308dh","Large",0.5110904885,"perception"
"56","30308dh","Extra Large",0.651682283,"perception"
"57","30310kl","Small",2.3753674555,"perception"
"58","30310kl","Medium",0.9909226605,"perception"
"59","30310kl","Large",1.041883265,"perception"
"60","30310kl","Extra Large",1.341224765,"perception"
"61","30313jp","Small",1.110001514,"perception"
"62","30313jp","Medium",1.2640082995,"perception"
"63","30313jp","Large",1.4438386475,"perception"
"64","30313jp","Extra Large",1.124789412,"perception"
"65","30314am","Small",1.804820494,"perception"
"66","30314am","Medium",2.105106813,"perception"
"67","30314am","Large",2.2977619045,"perception"
"68","30314am","Extra Large",1.717923672,"perception"
"69","30317em","Small",2.1878994695,"perception"
"70","30317em","Medium",0.98203041,"perception"
"71","30317em","Large",0.898221714,"perception"
"72","30317em","Extra Large",1.141448671,"perception"
"73","30404jm","Small",1.2157816965,"perception"
"74","30404jm","Medium",1.068898093,"perception"
"75","30404jm","Large",0.8558266195,"perception"
"76","30404jm","Extra Large",0.7730827315,"perception"
"77","30406db","Small",4.183586612,"perception"
"78","30406db","Medium",4.173869899,"perception"
"79","30406db","Large",2.7440035625,"perception"
"80","30406db","Extra Large",3.034419607,"perception"
"81","30410mc","Small",1.527862658,"perception"
"82","30410mc","Medium",0.9858661825,"perception"
"83","30410mc","Large",1.2558996165,"perception"
"84","30410mc","Extra Large",0.424921441,"perception"
"85","30411ao","Small",1.641249598,"perception"
"86","30411ao","Medium",1.7003823715,"perception"
"87","30411ao","Large",1.6219432625,"perception"
"88","30411ao","Extra Large",1.309609068,"perception"
"89","30414sh","Small",2.043054146,"perception"
"90","30414sh","Medium",1.7349393655,"perception"
"91","30414sh","Large",1.9516703475,"perception"
"92","30414sh","Extra Large",1.8984259165,"perception"
"93","30417mg","Small",2.2544204175,"perception"
"94","30417mg","Medium",2.263566493,"perception"
"95","30417mg","Large",2.474961291,"perception"
"96","30417mg","Extra Large",1.867801002,"perception"
"97","30418sf","Small",1.3413067925,"perception"
"98","30418sf","Medium",1.2073716075,"perception"
"99","30418sf","Large",1.3648437245,"perception"
"100","30418sf","Extra Large",0.94216703,"perception"
"101","30420im","Small",0.855430789,"perception"
"102","30420im","Medium",1.8507153625,"perception"
"103","30420im","Large",1.717132325,"perception"
"104","30420im","Extra Large",2.744846309,"perception"
"105","30421sg","Small",2.0338490685,"perception"
"106","30421sg","Medium",1.3897581965,"perception"
"107","30421sg","Large",1.46402564,"perception"
"108","30421sg","Extra Large",1.45836852,"perception"
"109","30425mk","Small",1.861403522,"perception"
"110","30425mk","Medium",1.734532462,"perception"
"111","30425mk","Large",2.155083335,"perception"
